Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,27818239,0,0,0,15514086,2978171,1662582,979605,1969077,328338,10870894,4707949,127454,52735,3570500,1722167,1.95
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,29883871,39,0,0,26718088,5355754,2587359,1945001,4620705,1173646,17482242,6257311,883629,601390,6872512,4618389,1.06
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M,4505059,77,0,0,32656158,1682541,1309184,1011247,1071228,534951,9238283,4249760,219253,165032,3543865,2479757,1.07
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,6397534,0,0,0,44068726,10069474,6887761,4542151,9503265,600291,28155651,3356405,591614,277728,7126608,3751436,0.98
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,14814289,113,0,0,38895009,8094408,2263064,1987299,6098610,5092809,16371764,8962807,4888209,4663111,16585354,15123694,0.29
Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,3495945,46,0,0,45121412,5194905,3048727,2793205,4912810,1188195,16373662,3638357,1184263,502487,8738921,3956583,0.78
SPEC17_602.gcc_s-1850B,11911144,0,0,0,34678420,1423423,5046145,4252339,726784,99288,25217649,7366226,94790,65305,6974618,4135062,1.39
SPEC17_602.gcc_s-734B,37281575,93,0,0,29257855,744244,3432057,3307016,375803,78861,19304008,3245704,74366,60331,3809770,2383248,2.00
SPEC17_603.bwaves_s-1740B,17943610,0,0,0,47798962,1315421,2959353,2702377,1234584,164171,15023443,4572435,112190,89648,7177564,4085090,2.50
SPEC17_603.bwaves_s-891B,16,7,0,0,33768924,1707814,3812615,3796773,175363,166293,23519076,6717497,165858,165492,7433349,4723999,1.68
SPEC17_605.mcf_s-1536B,37723706,0,0,0,32032103,12812446,3821830,3521302,9084813,863544,30611430,5050108,860968,397879,11535637,7138208,0.78
SPEC17_605.mcf_s-1554B,34542773,0,0,0,72513780,16301101,24859268,23904348,10619170,6666544,93232008,53328160,5482330,1735958,80987027,26727463,0.68
SPEC17_605.mcf_s-1644B,17016746,0,0,0,46356824,4279056,8234798,8010334,3929198,899772,35529197,8986434,890713,305107,16013957,8195098,0.22
SPEC17_605.mcf_s-472B,34009434,6,0,0,51355249,6742581,8687885,7794142,4535806,2909839,39894477,24008691,1962167,1410871,27007067,19313920,0.74
SPEC17_605.mcf_s-484B,32916366,0,0,0,46530443,2818266,4617560,3857808,2134741,1060585,20744981,10156390,836766,556347,14065799,10245488,0.85
SPEC17_607.cactuBSSN_s-2421B,35460036,1123,0,0,31349720,22070799,6285768,2475462,21341298,37545,19094755,1500241,37524,27359,4424882,1623910,2.74
SPEC17_619.lbm_s-2676B,34246647,0,0,0,7101995,456122,1106070,977051,389374,121392,6083360,1718113,84176,57876,2537778,1611347,1.10
SPEC17_619.lbm_s-2677B,33531433,0,0,0,7630288,1649302,1477572,977465,1539012,374479,8158914,2802024,223288,154337,4491091,2974465,0.61
SPEC17_620.omnetpp_s-874B,6041913,77,0,0,38695623,3604507,4134590,1570357,2923348,1170140,7247170,3448219,1143615,870648,6135257,4981293,0.55
SPEC17_621.wrf_s-6673B,30333922,5980,0,0,29420727,1177843,2695495,2355303,727488,190408,13480137,3200687,136365,93121,3549662,2011842,2.28
SPEC17_623.xalancbmk_s-10B,24677494,10322,0,0,42105210,8757667,4379139,3579000,4505669,3301153,17973835,12140069,2998144,2170133,19040034,14729235,0.60
SPEC17_649.fotonik3d_s-1176B,29833765,0,0,0,28362811,631137,2598305,2574260,108937,54353,16066243,4029480,53234,53215,3376533,2163667,3.33
SPEC17_649.fotonik3d_s-7084B,32093182,0,0,0,31330204,433158,3352001,3056867,328046,45465,19734184,3824864,42278,37284,6806551,3671227,2.70
SPEC17_654.roms_s-293B,36299161,203,0,0,41352520,407318,2498194,1969028,206180,36931,12342184,2180273,35453,34593,3200427,1913186,2.78
SPEC17_654.roms_s-294B,35313079,0,0,0,49075203,361788,3339712,2569555,90976,51389,15012308,3018243,50138,50095,4460685,2782868,2.57
SPEC17_654.roms_s-523B,33562812,34,0,0,39377873,1186054,3225260,3072254,226875,122856,18108951,6278758,102889,97222,6485842,4251527,1.68
ai-ml_bark.cpp-bark-small.coarse_token_gen.1,22556490,0,0,0,48635230,1868793,1736421,1351626,1291746,695533,7165379,2803920,446968,170297,1907810,942661,3.26
ai-ml_bark.cpp-bark-small.coarse_token_gen.2,28286366,128,0,0,51173131,10629885,7694651,4867307,9084785,694651,16604597,2403670,401255,216974,2371365,1382536,3.07
ai-ml_bark.cpp-bark-small.coarse_token_gen.4,31435769,57,0,0,52418636,12271793,8995225,5268615,10720810,830646,22568659,3698197,400412,222141,2419326,1560194,2.65
ai-ml_bark.cpp-bark-small.coarse_token_gen.5,25003565,437,0,0,29238504,10929528,5151936,3797700,7845230,2109365,21587897,14439120,1099180,967607,8787556,7749012,1.89
ai-ml_biogpt.cpp-ggml-model-tocilizumab.1,30303748,1602,0,0,60116122,29502115,12367449,9811433,26008720,24247637,75163798,73336312,8985361,8687820,44547005,43936060,0.59
