Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                                                   gtraces_v2_merced_0001 15555033       2302653       0           0            33691217       3956289       0           0             4559343       1188327        12134521    3160067     1051293        896883         3096786     2476595     0.59
                                                                   gtraces_v2_merced_0002 15690146       2032140       0           0            30880368       3089924       0           0             3782732       1068381        10592336    3513677      896369        755787         3023054     2403452     0.62
                                                                   gtraces_v2_merced_0003 16143148       2085980       0           0            30918180       3327387       0           0             3976982       1228316        10209976    3445383     1072487        930828         3166054     2599225     0.58
                                                                   gtraces_v2_merced_0004 15955715       1982995       0           0            29073963       3176401       0           0             3797019        953182         9991883    3016347      812152        678961         2752709     2161693     0.65
                                                               gtraces_v2_sierra.a.3_0000 20617182       8860652       0           0            35856134       3807495       0           0             9691576       1659882        26580513    5076586     1421664        986380         4098910     2622779     0.46
                                                               gtraces_v2_sierra.a.3_0001 20928363       6595988       0           0            34000390       2926452       0           0             7325510       1236046        20551265    3866504     1057292        765527         3164023     2064732     0.55
                                                               gtraces_v2_sierra.a.3_0002 21132646       6901707       0           0            34247083       3136622       0           0             7745519       1286293        21459509    3994722     1103851        785174         3261826     2068526     0.54
                                                               gtraces_v2_sierra.a.3_0003 21686620       6519439       0           0            35678295       3865599       0           0             7999961       1317670        22344255    4340920     1097013        831546         3472170     2407755     0.54
                                                               gtraces_v2_sierra.a.3_0004 20493364       7017879       0           0            36071954       3887889       0           0             8371370       1356367        23459283    4389205     1144992        836203         3591693     2376250     0.52
                                                               gtraces_v2_sierra.a.4_0000 21369732       5238010       0           0            36303356       4408048       0           0             7457475       1686739        20597497    5430484     1408150       1111292         4303475     3144085     0.46
                                                               gtraces_v2_sierra.a.4_0001 22172450       7433898       0           0            37651171       4759444       0           0             9427307       2086799        25981176    6618547     1759778       1296458         5348609     3538506     0.40
                                                               gtraces_v2_sierra.a.4_0002 22872978       6846847       0           0            34976689       4233084       0           0             8564013       1926513        23452160    6205589     1628375       1216613         4750505     3210191     0.41
