Summary for 1C.fullBW.berti_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
                                                               gtraces_v2_sierra.a.6_0000 34957139          9.78                  2516124              52.90                    10108270         12.85                  30840048            15.66                     1145810          74.95                  4565709             72.58                     0.50
                                                               gtraces_v2_sierra.a.6_0001 33908680         11.41                  3174119              65.28                     9610598         16.41                  32173474            25.32                     1347230          76.01                  7625492             79.13                     0.47
                                                               gtraces_v2_sierra.a.6_0002 34788194          9.53                  2424546              53.67                     9707037         15.47                  29791477            19.03                     1312118          72.83                  5116515             71.06                     0.48
                                                               gtraces_v2_sierra.a.6_0003 34868254         10.59                  2805758              58.82                    10091243         16.20                  32008645            22.45                     1402482          74.80                  6474006             74.99                     0.46
                                                               gtraces_v2_sierra.a.6_0004 35372135          9.83                  2542206              52.85                    10352671         13.65                  31544707            16.84                     1236181          73.87                  4931740             71.19                     0.48
                                                                    gtraces_v2_tahoe_0000 36415431          4.88                  1473009              57.25                     2926085         31.27                  10587877            37.16                      796420          78.42                  3628045             74.24                     0.65
                                                                    gtraces_v2_tahoe_0001 35088924          6.91                  1928394              59.41                     3665602         33.71                  13265493            40.01                     1057405          83.57                  4600290             80.85                     0.54
                                                                    gtraces_v2_tahoe_0002 31375659          8.12                  1825353              68.84                     1789469         38.56                   7249000            41.47                      643028          87.59                  3632339             76.54                     0.76
                                                                    gtraces_v2_tahoe_0003 34838942          6.55                  1992718              55.29                     3876012         29.41                  13769759            36.65                      969130          80.88                  4409097             76.69                     0.54
                                                                    gtraces_v2_tahoe_0004 36928975          4.81                  1472927              57.23                     2637392         31.80                   9499038            38.86                      717191          83.47                  3161160             80.83                     0.66
                                                                    gtraces_v2_tango_0000 32256995          6.87                  1957321              47.86                     4559892         18.06                  15142637            20.84                      744005          74.45                  3372015             72.98                     0.60
                                                                    gtraces_v2_tango_0001 29655519          6.89                  1619456              51.53                     3132444         24.46                  10741443            24.62                      706841          84.74                  2910045             81.65                     0.69
                                                                    gtraces_v2_tango_0002 32643353          6.82                  2095934              49.15                     4420673         17.50                  15330193            20.18                      698440          74.42                  3389733             73.25                     0.62
                                                                    gtraces_v2_tango_0003 31948944          7.34                  1903318              49.03                     4430495         21.32                  14484115            24.06                      856488          74.45                  3770242             72.93                     0.57
                                                                    gtraces_v2_tango_0004 31435315          6.86                  1759058              48.88                     3946602         21.09                  13023695            24.07                      751050          70.51                  3411649             74.62                     0.63
                                                                   gtraces_v2_yankee_0000 34377135          6.48                  2203571              60.45                     3966613         29.57                  16350743            33.39                      987971          69.80                  4645687             68.85                     0.58
                                                                   gtraces_v2_yankee_0001 34221970          6.26                  2184733              60.23                     3682302         30.11                  15753615            33.37                      932984          70.56                  4588621             68.51                     0.60
                                                                   gtraces_v2_yankee_0002 32577837          5.43                  1972205              56.53                     2972515         28.91                  12658633            31.89                      722876          68.51                  3506332             68.32                     0.73
                                                                   gtraces_v2_yankee_0003 34492684          6.32                  2194529              60.53                     3888796         29.71                  16240414            33.21                      973460          65.70                  4621766             67.29                     0.60
                                                                   gtraces_v2_yankee_0004 34460607          6.43                  2259308              60.80                     3791913         29.92                  16284872            33.31                      954295          68.85                  4684003             67.98                     0.59
