Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
SPEC17_619.lbm_s-2677B,33526677,0,0,0,7632129,1648382,1475034,977194,1538801,385996,8255308,2909949,230108,154804,4484360,2962486,0.61
SPEC17_620.omnetpp_s-874B,6026761,63,0,0,38692253,3601982,4134096,1572843,2922162,1164203,7433510,3514583,1137673,870671,6176452,4990353,0.55
SPEC17_621.wrf_s-6673B,30334381,3687,0,0,29420209,1160650,2688700,2353040,729152,186441,12019261,2780980,135999,89710,3545579,2066568,2.30
SPEC17_623.xalancbmk_s-10B,24674771,19,0,0,42113232,8758597,4372615,3571820,4497883,3295931,17951530,12133899,2996537,2149805,19032953,14669508,0.60
SPEC17_649.fotonik3d_s-1176B,29833330,0,0,0,28360759,630997,2597317,2574390,108427,54431,16067745,4026070,53237,53219,3375699,2162024,3.33
SPEC17_649.fotonik3d_s-7084B,32092634,0,0,0,31335341,434651,3349530,3054841,329682,45519,19749320,3826039,42365,37445,6806387,3669926,2.70
SPEC17_654.roms_s-293B,36300289,200,0,0,41355755,404912,2494603,1971054,203517,36818,12341283,2186601,35370,34493,3209670,1915671,2.78
SPEC17_654.roms_s-294B,35311190,0,0,0,49073501,361157,3339031,2570699,91196,51348,15022358,3008991,50110,50065,4457255,2782131,2.58
SPEC17_654.roms_s-523B,33549790,34,0,0,39366970,1175295,3225258,3072075,227120,123060,17824808,6153578,103072,97161,6510879,4278014,1.68
ai-ml_bark.cpp-bark-small.coarse_token_gen.1,22556503,0,0,0,48639195,1866513,1739721,1350094,1290918,693360,7132060,2813467,442966,171991,1911089,942171,3.26
ai-ml_bark.cpp-bark-small.coarse_token_gen.2,28284313,128,0,0,51106028,10625225,7680718,4857405,9088341,705716,17036592,2369222,422795,225651,2349512,1316712,3.08
ai-ml_bark.cpp-bark-small.coarse_token_gen.4,31434795,56,0,0,52316179,12291991,8989125,5247900,10738519,829199,22491226,3657831,395683,215274,2424090,1557750,2.66
ai-ml_bark.cpp-bark-small.coarse_token_gen.5,24984474,1,0,0,29226290,10929081,5148656,3793775,7851559,2118033,21637918,14500040,1095663,966742,8780920,7748761,1.89
ai-ml_biogpt.cpp-ggml-model-tocilizumab.1,30232056,2,0,0,60114342,29516589,12385974,9759434,26089098,24342650,75199050,73603336,7248914,6965727,46277108,45652286,0.59
ai-ml_biogpt.cpp-ggml-model-tocilizumab.2,30279272,1461,0,0,61834095,31153932,13532971,12244869,23616023,21962830,69072643,67124815,6084856,5809146,45822292,45226021,0.60
ai-ml_biogpt.cpp-ggml-model-tocilizumab.3,30716455,1456,0,0,62278527,31818001,13109909,11159158,25310771,23508387,78586538,76701547,6570214,6287628,46895867,46248714,0.59
ai-ml_clip_trace_1,22849854,0,0,0,48202872,2235046,10501096,1728337,753660,193320,8334914,2863464,122203,91576,1311316,1132048,3.54
ai-ml_clip_trace_3,22511854,138,0,0,47875649,2516527,8845622,1800643,888596,291000,9163697,3336261,180669,118307,1675783,1325528,3.21
ai-ml_llama2.c-stories110M.1,25168489,154,0,0,35907412,15340451,6070093,6026673,1727927,1637404,31188737,29986089,802557,789321,12953012,12808648,1.95
ai-ml_llama2.c-stories110M.2,25574640,160,0,0,36618975,15482742,6101293,6053294,1692631,1584655,31453650,30164095,778096,763589,12978213,12825321,1.93
